Nederlands;Tilburgs
 achterdochtig iemand, pietlut ; zuukerd
 achterhouden ; smoore
 achterna ; aachterheene
 achterom ; aachterom
 achterom, via de achterdeur ; oover den hòfpad (hòfpat)
 achterspatbord ; aachterslèkbòrd
 achterste ; braoj
 achterste ; aachterwèèrek
 achterste ; sevôoj
 achterste, gat ; poepstööver
 achterstevoren ; aachtersteveure
 achterstevoren ; verkeerd om
 achteruit ; aachterèùt, aachterööt
 achteruitlopen, zienderogen achteruitgaan ; aachterötlôope
 achting ; aachting
 adem ; aojem
 adem ; òjem, aojem
 adem, asem, lucht, antwoord ; òssem
 ademen ; òjeme, aojeme
 ademen ; òjemhaole, aojemhaole
 ademen ; aojeme, òjeme, òsseme
 ademen ; òssemhaole
 ademen, asemen ; òsseme
 ader (en) ; aojer
 aderen ; ojers
 adverteren, te koop lopen met ; avvetêere
 advies, raad ; raot
 advocaat, meester in de rechten, strafpleiter, eierlikeur ; avvekaot
 af ; aaf
 af drogen ; ááf drûge
 af en toe, nu en dan ; avventoe
 afbinden ; aafbèène
 afbinden ; knèlle
 afdingen ; prèngele
 afdrogen ; afdrêûge
 afdrogen, geld afhandig maken.afstraffing geven ; afdrêûge
 afgestraft, onder handen genomen ; gepanaast
 afgraven ; ötlêege, èùtlêege
 afijn, kortom ; afèèn
 afkijken, aanzien, geduld hebben ; afkèèke
 afkluiven ; (af) knèùfele
 afkokers ; matsers
 afkomst, afstamming ; komaaf
 afladen, uitladen, leegmaken ; leeglaoje
 aflopen ; afgaon
 afluisteren ; hörke
 afmaken, doden, afrasteren ; afmaoke
 afnemen, ontnemen ; affatte, aaffatte
 afnemen, ontnemen ; aaffatte, affatte
 afraden ; afraoje
 aframmeling geven ; afslaon
 afranselen ; afrösse
 afranselen ; afpèère
 afranselen, aftuigen ; aftööge
 afrasteren, omheinen ; afhèène
 afscheiding ; schaansmuur
 afscheiding ; schaans
 afsnauwen, onvriendelijk aanzeggen ; snaawe
 afstandsbediening ; kasje
 afsteller van het weefgetouw (textiel) ; ketaawstèller
 afstraffen, onder handen nemen, pak slaag geven ; galleggissele
 afstrijden, ontkennen, tegenspreken ; afstrèèje
 aftands, ouderwets, versleten ; aftaands
 aftreden ; aftreeje
 afval van gerst (veevoer) ; bösselt
 afvoer van het aanrecht ; gutje
 afwas ; omwaas
 afwas borstel ; omwaas kwast
 afwas, vaat ; omwaas
 afwassen, de vaat doen ; omwaase
 afwezig, in gedachten ; döözeg
 agent van polite ; plisie
 akelig ; aokelig
 akelig ; aokelek
 akelig kereltje ; klèènen opn euker
 akker ; èkker
 akkers ; èkkers
 alcoholdrinker, proever, geregelde drinker van sterke drank ; pruuver
 alcoholische drank ; draank
 alikruik, eetbare zeeslak met huisje (Littorina littorea) ; kneu kel
 alikruik, eetbare zeeslak met huisje (Littorina littorea) ; kreukel
 alle slagen halen (kaartspel) ; kepòtspeule
 alleen ; allênig
 alleen ; allêeneg
 allemaal ; allemòl
 allemaal ; ammel
 allemaal ; ammol
 allemaal, allen ; òmmòl, ammòl
 allemaal, alsmaar ; ammòl, ommòl
 allemachtig ; gòdsakkerdekon t
 allemachtig ; gòdsakker
 allen ; ammòlle
 allengs, langzamerhand ; alèskes
 aller ; alder
 allerlaatst ; alderlist
 allerlei ; alleraande
 allerlei soorten brandstof ; stook
 allerlei, allerhande ; alderaande
 alles gelijk, hetzelfde ; toutmèm, êen
 Alphen (NB) ; Allefe
 als ; ak
 als bij biljarten de bal waarop gespeeld wordt ongewenst de andere bal raakt ; klutse
 als het blaasjes regent, dan regent het zes weken ; ast brobbeltjes rèègent, dan rèègunut zis weeku
 als het waar is ; ast is dèt is
 als je ; agge
 als je maar goed beseft. ; agger mar èèrg in hèt.
 als je maar plezier hebt! ; as ge mar leut hèt!
 als, dan ; as
 alsjeblieft ; asteblief
 alsmaar ; geduureg
 alsmaar ; hil den tèèd
 alsof ; òfdèsse
 alsof ; asòf
 alstublieft ; asteblief
 altijd ; aaltij
 altijd ; aatij
 altijd ; aaltèj, aatèj
 alweer ; awir
 ambtenaar ; amtenèèr
 ander (e) ; aander (e)
 andere ; aanderste
 andere zijde ; geenekaant
 anderhalf ; aanderhallef
 anderhalve ; aanderthalleven
 anders ; aanderst
 anders ; aanders
 angst, vrees (Fr: peur) ; peur
 angsthaas ; schèèthèùs
 angsthaas ; schèètert
 angsthaas ; schèètèkster
 angsthaas, bangerik ; bangeschèèter
 anjers ; snoffels
 apropos, onderwerp, stuk ; apperepoo
 ar m ; èrum
 arbeider ; wèrkmeens
 arbeidershuisjes ; wèrkmanshöskes
 arm ; èèrm
 arm ; èèrem
 arm ; èrum
 arm, behoeftig ; èèrm
 armbandje ; èèrmbèndje
 arme mens ; unnen eerme kloot
 armen ; èèreme
 armen ; érme
 armin ribic ; koekert
 armoede ; èèrmoej
 armoede ; erre moei
 armoedig ; èrmoejeg
 arrogant type ; natnèk
 as (sen) ; aas (e)
 asfalt ; makkedam
 asfalteren ; tèère
 asfaltweg ; tèèrwèg
 asociale mensen ; plebs
 asperge ; aspèrzje
 assortiment ; sòrtiemènt, sòrtement
 attelier ; atteljee
 augustus ; awgustes
 auto ; ootoo
 Auto ; Waoge
 autopech ; pànne, ootoopànne
 autopech ; ootoopànne, pànne
 autoped ; affeseerplènkske
 autoped, step ; affesêerplènkske
 avond ; aovend
 avondbroodmaaltijd (evt. ook zonder koffie) ; kòffiedrinke
 azijn ; azèèn
 baai ; baoj
 baal ; baol
 baaltje ; bòltje
 baan ; baon
 baantje ; bòntje
 baantje glijden ; slibberen
 baantjeglijden ; slibbere
 baard ; baord
 baardje ; bòrdje
 Baarle-Nassau ; Baol, b aol, Baolk
 baars ; baors
 baarsje ; bòrske
 baas ; baos
 baasje ; bòske
 baat ; baot
 babbelzieke vrouw ; rètteketèt
 baby ; plat kèènd
 baby ; beebieke
 baby, klein kindje ; boeleke kroeleke
 babyluier ; kàkdûukske
 baden, baaien ; baoje
 bagage drager ; begaosiedraoger
 bagagedrager ; begòzziedraoger
 bagagedrager ; pakkendraoger
 bagatel, kleinigheid ; bakketèl
 bak ; bèkske
 baker ; baoker, baokster
 bakfiets ; kèrrîêr
 bakharing, gebakken bokking ; jaop
 bakkebaard ; bakkebaord (mv, baorde)
 bakkebaard ; bakkeboart
 bakker ; bèkker
 bal ; bol
 bal. hoofd ; bòl, (vkw bölleke)
 balk ; ballek
 balkengeraamte van een gebouw ; gebont
 balletje ; bölleke
 balletje, bolletje, hoofdje ; bölleke (zn)
 balpen ; kogelschrèèverke
 balpen ; bòlpèn
 band ; baand
 bandje ; bèndje
 bang zijn ; pèùr hèbbe
 bang zijn, iemand die bang is, angst ; bange
 bangerik ; schèèthös
 bangerik ; schèèthèùs
 bangerik ; schèètert
 bangerik ; schèèterd
 bangerik ; schèètekster
 bangerik ; nèèpert
 bangerik ; schèterd
 bangerik ; bangeschèèter
 bank ; baank
 banketbakkerij ; patisserie
 bankje ; bènkske
 bankroet, failliet ; falliet, feliet
 bar in een café ; toog, toogbaank
 barbier, kapper ; bèrrebier
 baren ; baore
 barman ; toogbediende
 barmsijs (Carduelis flammea) ; nôordsèès
 barmsijsje (Carduelis flammea) ; brèmkwètje
 barst (en) ; baarst (e)
 barst, scheur ; bèrst
 bastaard (hond) ; stroatkaaibaanderas
 bastaard hond ; kaaibaanden ras
 bastaardhond ; kaajbaanderas
 bastaardhond ; völlesbakkeras
 bastaardvloek ; jikkeresmiena
 bastaardvloek ; gòtsakkerdekònt
 bastaardvloek ; gadoorie
 bastaardvloek ; jeezesmiena
 bastaardvloek ; jizzesmiena
 bastaardvloek ; gatvergielegèètekeutel
 bastaardvloek ; tjuutoch
 bastaardvloek, uitroep van teleurstelling ; gatsamme
 bazig of koppig iemand ; bröst
 bazige vrouw ; kernòllie
 bazige vrouw ; èrketèt
 bazige vrouw (Fr:canaille) ; knòllie
 bazige vrouw, heerszuchtige echtgenote, (Fr: cuirassier) ; kèrresîêr
 beademen ; hèùge
 bebroed ei ; vèùl aaj
 bed ; iepert, uupert
 bed ; iepert
 bed ; nest
 bed ; nist
 bed ; niepert
 bed ; lappemaand
 Bed ; Toddehoop
 bed, slaapplaats ; uupert, iepert
 beddenkruik ; krèùk
 bedelaar ; schôojer
 bedelen ; schôoje
 bedenkelijk heerschap (Lat: patriarcha) ; patriejark
 bederven ; bedèèreve
 bedevaart ; bèèvert
 bediener v.d. fijnspinmachine (salfak ) in de textielindustrie ; dròjmaoker
 bedoeling ; prononsie
 bedonderd, klaar, jarig ; begèrbeleurd
 bedonderen ; bezèèke, (tt bezèkt, vt bezêek)
 bedrag ; bedráág
 bedriegerij ; klôoterij
 bedrieglijk handelen, (weg) moffelen ; foezele
 bedrijvig ; petrèèveg
 bedrukte sfeer ; beloaije
 bedrukte sfeer ; belaoje
 bedstee met deurtje of klein raampje ; körref
 beduvelen ; bezèèke
 beeld, afbeelding ; bild, (mv bilder, bilde)
 beeldhouwer ; bildhaawer
 been ; bin
 beentje lichten ; potjelappe, hòrènkele
 beer ; bèèr
 beerput ; bèrput, birput
 beest ; bist, (mv biste, vkw bisje)
 beetje ; bietje
 beetje getikt ; appetjoek
 beetnemen, overheersen ; besèèpele
 Beffe ; de pruim op sap zette
 beffen ; gleuvepruve
 begaafd, bijdehand ; kien
 begaaien ; begaoien
 begaan ; ònpertije, ònpertèèje
 begaan ; ònpartije
 begerig kijken ; gèèlôoge
 begerig kijken ; gèùze
 begerig kijken ; gööze
 begin (nen) ; begien (e)
 beginnen ; begiene
 beginnen, aangaan (ww) ; òngaon
 begon ; begos
 begrafenis ; begròffenes
 begrijpen ; begrèèpe, (tt begrèpt, vt begrêep)
 behept, aangelegd ; òngeleejt
 behoorlijk, netjes ; beheurlek
 behouden ; behaawe
 beide ; baaj
 beide ; baaje
 beide kanten ; swirskaante
 beide, allebei, alle twee ; allebaaj
 beitel ; bèètel
 bekakt, dikdoend ; nàt
 Bekijk het maar. ; ukkem
 bekijken ; bekèèke, (tt bekèkt, vt bekêek)
 bekijken, suffend kijken, onoplettend zijn, bezichtigen ; laawe
 bekijks, belangstelling ; bekèks
 bekorten, gerichter gaan ; bèschiete
 bekritiseren ; kretiesêere
 bekvechten ; moelvèèchte
 bekwaam, nuchter ; bekwaom
 belasten ; belaaste
 belastingplaatje voor de fiets ; fietsplòtje
 belazerd / bedonderd ; belaojtoffeld
 belazeren, bedonderen ; belaojtòffele
 beleg ; toelaog
 Beleg ; toeloag
 beleg (voor brood) ; toelaog
 belegden, beleden ; beleeje
 belendende grondeigenaar ; galander
 beleven ; belèève, (tt belèèf, vt belêef)
 Belg ; unnen Bels
 Belgie ; Bels
 België ; den Bèls
 Belgisch ; Bèls
 belief je een koekje ; luste en kuukske
 bellefleur (appeltje) ; bèlleflurke
 belletjetrekken ; bèlleketrèkke
 beloning ; prèès
 beloven ; verzègge
 bemerken ; gewaorwòrre
 bemoeien ; moeje
 ben je ; zèède
 ben je boos? ; bende over de zèk?
bende koat;
 Ben je gek? ; ben de ge roar
 ben jij ; zedde gij
 benauwdheden ; benaawegheeje
 benauwdheid ; benaaweghèt, benaaweghèj
 benauwen ; benaawe
 beneden ; beneeje
 benen ; binne
 benen ; hiepe
 bengelen ; bèmmele
 benieuwd ; benuut
 bent ; zèèget
 benul ; belul
 benutten ; gebrèùke, gebrööke
 bepaald ; bepòld
 bepaald herenkapsel ; kiepe k o n t
 bepaald moment ; gegeeven ôogenblik
 bepaald soort koekjes ; klètskòppe
 bepaald type kachel ; plattebèùs
 bepalen ; bepaole (tt bepòlt)
 beproeving, zware opgave ; begènkenes
 beraden ; beraoje
 bereden politie ; pliesie te pèèrd
 berg ; bèèreg
 berghok ; et schòp
 berging ; schòp
 berging ; et schòp
 Berkdijk ; Bèrrendèèk
 Berkel (gem Berkel-Enschot) ; Bèèrekel
 berm ; bèrrem
 beroepswerkeloze ; klaplôôper
 beroerd ; bescheete
 beroerdigheid, kommer en kwel ; berôêrdeghèt / hèj (mv berôêrdegheeje)
 beroerdigheid, narigheid ; brôêrdereghèt / hèj
 beroerte ; beslag
 berouwvol ; raawmoejeg
 bes ; beezem, beezie
 beschaamd ; beschòmd
 beschadigen ; beschandeliezeren
 beschadigen ; beschandeliezeere
 beschermer, engelbewaarder ; parnasses
 beschreeuwen, beroepen ; bekwèèke, (vd bekwêeke)
 beschrijven, inhebben ; beschrèève
 beschuit ; beschööt
 beschuitenpap ; luiwèèvepap
 beschuitje ; beschötje
 beschuitpap (is nl snel klaar) ; lööjwèèvepap
 beslag maken ; timpere
 beslissen, bescheiden ; beschaaje
 beslist, vast en zeker ; al zun daoge
 beslommering ; bezoelie
 beslommering ; slameur
 bespieden ; afloekieje
 bespraakt ; getòld
 best ; bist
 best wel ; aoreg
 bestaan ; bestaon, bestòn
 beste ijshockey clubteam ter wereld aller tijden ; Chicago Blackhawks, Sjikaago Blèkhaawks en dan hullieje draftteam Tilbörg Traappers
 besteden ; besteeje
 bestek, tafelgerei ; tòffelgeraaj
 betalen ; pòllesjanke
 betalen ; betaole
 betalen ; betaole, petaole
 betalen ; petaole, betaole
 betalen ; lammere
 betalen ; beköstege
 betalen, opbrengen ; besjonkele
 betalen, over de brug komen ; afschiete
 beter worden ; bekoevreere
 beter worden, herstellen (v.e.ziekte), moed vatten, v.d. schrik bekomen, ten goede keren ; hèrpakke
 betere ; beeterder
 beters ; beeters
 betijen ; öttööjere, èùttèùjere
 betreuren ; bekulle
 betweter ; jan zeuve
 betwijfelen ; betwèffele
 beuk ; buuk
 beukenboom ; buukebôom
 beukennootje ; buukenotje
 beuren, in ontvangst nemen ; beure
 beurs ; bökzuut
 beurt ; burt
 bevallen, kind baren ; kachele
 Bevalt het je ; Hedde d'r aord meej
 beven, trillen, bibberen, rillen ; rèère
 bevrijden ; bevrèèje
 bewaren ; bewaore
 beweeglijk kind ; wiebelkuntje, wiebelstèrtje
 bewijs ; bewèès (mv bewèèze, vkw bewèske)
 bewijzen ; bewèèze, (tt bewèèst, vt bewêes)
 bezem ; bissem
 bezem ; bèssem, bissem
 bezem ; bissum
 bezem van heide ; haajbissem, haajbèssem
 bezems ; bissems
 bezeten van iets ; kaajzòt
 bezig mens ; koeter
 bezijden ; opzèèje
 bezinksel ; môos
 bezoek ; bezuuk
 bezoeken ; òngaon
 bezorgen ; bezörege
 bezum ; bissem
 bezuren ; besniete
 bezuren, opdraaien voor ; besniete
 bezweet ; bezwit
 bezwijken ; bezwèèke, (tt bezwèkt, vt bezwêek)
 bidden ; bidde, (vt baad)
 bieden ; bieje, (vt boj, bôoj)
 biertje ; pötje bier
 biertje ; pilske
 bierviltje ; koek
 biggen ; bagge
 bij ; bè, bèj
 bij ; bie, (mv bieje, vkw bieke)
 bij elkaar ; bèmekaare
 bij elkaar harken van dennennaalden ; spèllekrabbe
 bij elkaar schrapen ; schèère
 bij elkaar, bijeen, samen ; bèbekaare, bèmekaare
 bij hen ; bè zullie
 bij voorbeeld ; bevobbeld (mv. vobbelde)
 bijbetalen ; bèlappe
 bijdehandje (vrouwelijk) ; haajbaaj
 bijenkorf ; biekörref
 bijhouden ; bèhaawe
 bijkans, bijna ; pekaan (s) t, bekaan (s) t
 bijkeuken ; aachterhèùs, aachterhöös
 bijkeuken ; geut, (vkw gutje)
 bijkeuken (waar gewassen werd), keuken op de boerderij ; môoskeuken
 bijl ; bèèl
 bijltje ; bèltje
 bijna ; bekant
 bijna ; bekaant
 bijna ; hòst
 bijna ; bekaan (s) t, pekaan (s) t
 bijna, bijkans ; bekaan (s) t, pekaan (s) t
 Bijt hij als ik hem aai ; Bettie akum aoi
 Bijt hij als ik hem aai ; Bet ie oakum oaj
 bijt hij als ik hem aai? ; Bettie akkum aai?
 bijten ; bèète
 bijten ; bèète, (tt bèt, vt bêet)
 bijtijds, tijdig, op tijd ; betèts
 bijtijds, tijdig, op tijd ; intèds, intèts
 bijvoorbeeld ; bevurbild
 bijvoorbeeld ; bevobbelt
 bijvoorbeeld ; bevòbbeld
 bijzetten ; lappe
 bijzonder ; bezunder, biezunder
 bijzonder ; meraokels
 biljarten ; beljèrte
 Bill Gates ; unne rééke stinkerd
 billenholte ; gatspie
 billenkoek geven ; kuntje laote kèrmesviere
 binden ; bèène
 binnenkort ; vort zo
 binnenpretje ; binnebraandje
 bioscoop ; biejeskoop
 bisschop ; biskòp
 blaadje ; blaoike
 blaadjes ; blaojkes
 blaag, klein kind ; blaog
 blaar ; blèèn
 blaar ; blaor
 blaar ; bloar
 blaas, blaar ; blaos, (mv blaoze, vkw blòske)
 blaasje ; blòske
 blaaskaak, bluffer, snoever ; blaoskaok
 blad van de paardebloem, molsla, pissebloem (Taraxacum) ; gaanzetong, pisblom, mòlslaaj
 bladeren (ww) ; blaojere (ww)
 bladeren, bladen ; blaojer, (vkw blaojke)
 bladluis ; heemelzaod
 bladnerf ; blataojer
 blaker, schotelkandelaar ; blaoker
 blaten ; blèète
 blauw ; blaaw
 blauwachtig ; blaaweg
 blauwe bosbes ; moerbeezie
 blauwtje, heggemus (Prunella modularis) ; blaawke, blaawpieperke
 blazen ; blaoze
 bleken ; blêeke
 bleren, schreien, huilen ; blèète, blèère
 blij, gelukkig ; blèèj
 blijdschap ; blètschap
 blijf, raad ; blèèf
 blijken ; blèèke, (tt blèkt, vt blêek)
 blijkt ; blekt
 blijven ; blèève, (tt blèèft, vt blêef)
 blikken, een blik werpen op ; blieke
 bliksemen ; wirlichte
 blind ; blènd
 blinden, vensterluiken ; blènde
 bloedblaar ; bloedblèèn
 bloedje, hulpeloos of zielig kindje ; bluujke
 bloem ; blom, (vkw bluumke, blumke)
 bloem van de akkerwinde (Convolvulus arvensis) ; pispötje
 bloemen ; blomme
 bloemetje ; blumke
 bloesje ; bloeske
 blokje ; blökske
 blokkwast ; affeseerkwaast
 bloot ; blôôt (of naokend (mv. naokende) )
 bloot ; naokent
 blootshoofds ; blotskòp
 blootsvoets ; bèrrevoets
 blouse ; bloes
 blozen ; blôoze
 blut ; tep
 blut, platzak ; kèps, tèp
 bode ; boj, bôoj
 bodem ; bojem
 Bodem ; Bojum
 bodem ; boijum
 bodem, bezit, perceel ; bojem
 boek ; buukske
 boek uitgelezen hebben, klaar zijn ; öthèbbe, èùthebbe
 boekje ; buukske
 boekweit ; boekent
 boekweitmeel ; boekenemèèl
 boeltje ; reutemeteut
 boemelen ; bezjôûre
 boenen ; buune
 boenen, poetsen ; buune
 boenwas ; bûnwáás
 boerendans ; mie-ketoen
 boerenknecht, boerenarbeider ; bôêrenèrbèr
 boerenkool ; boeretoppe
 boerenkoolstamp ; gruunstamp
 boerenmetworst (Fr: saucisse) ; sesieswòrst
 boerenmetworst (Fr: saucisse) ; sesies
 boerenpummel, knurft, lomperd ; knörft, knörreft
 boertje ; boerke
 boete, straf, duw, por ; douw
 boeten, gelden ; buute
 boezeroen, kiel ; bazzeloen
 bokkig ; nèèg
 bokking ; bukkum
 bokking ; bukkem
 bokspringen (ruwe variant), spelvariant van haasje over (eerst een klap dan een trap en dan afglijden); klapkasafzak, klap-kas-afzak
 bol van de kaardedistel (Dipsacus fullorum) ; kaordebòl
 bolle straatkei ; kènderköpke
 bolletje ; bölleke
 bolus ; struntje
 bolus, suikerbroodje ; plèkbrôojke, plèkdròl
 bolussen ; plèkbrôojkes, plèkdròlle
 bombazijn, sterke katoenen of linnen stof ; bomberaaj
 bomen waartussen een trekpaard staat ; burries
 bonestaak ; èèrdrèès, (mv èèrdrèsse)
 bonnefooi ; rèùteketèùt
 bonnefooi ; röteketöt
 bonnen ; bons
 bontjas ; pèlsjas, (vkw pèlsjèske)
 boodschap ; botschap
 boodschappenmand ; kabas
 boom ; bumke
 boom ; bôom (mv bôome, vkw bumke)
 boomgaard ; boogerd
 boomgaard ; bongerd
 boomleeuwerik (Lullula arborea) ; hawtleuwerik
 boompje ; bûmke
 boontje ; bontje
 boordevol ; hupsvol
 boordje ; bordje
 boot ; bôot, (vkw botje)
 borreltje, drankje ; nathaawerke
 borst (en) ; gemoed
 borst, tiet ; mèm
 borstel ; bòrsel
 borsten ; tiete, memmu, teezekskus
 bosbes (sen) (Vaccinium myrtilis) ; klòkkebaaj (e)
 bosje ; busseltje
 bosje paling ; buske pòlling
 bosjes ; buskes
 bosweide, weide in het bos ; eusel
 boter ; kneut of waaiboom
 boter (roomboter) (margarine) ; botter (goej botter) (kneut)
 botercaramel (snoepje), koosnaampje ; booterbrökske
 boterham ; botteram (mv botramme)
 boterham ; botram
 boterham ; bam (vkw bammeke)
 boterham ; unne botram
 botje ; bintje
 botsen ; boetse
 botsen, kneuzen ; knutse
 bouw, gebouw, bouwwerk ; baaw
 bouwvallig ; keduuk
 bouwvallig, versleten, gebrekkig (Fr: caduc) ; keduukelek
 boven ; boove
 boven ; booven
 boven de arm, bovenmatig, boven zijn macht ; boovenèèrems
 bovenleer (voor schoenen) ; boovetöög
 braaf, zoet ; zuut
 braak ; braok
 braaksel ; spouw
 braam ; braom (vkw bròmke)
 braambes, (braambessen) ; brèmbeezem, (brèmbisseme)
 braambes, braambessen ; brèmbeezie
 braampje ; bròmke
 braamsluiper (Sylvia curruca) ; brèmkwèèk
 Brabantse vrouwenmuts ; poffer
 brabbelen, wartaal uitslaan, onduidelijk spreken ; broebele, brabbele
 braden ; braoje
 brak ; braak
 brak ; brôok
 braken ; spauwe
 brand ; braand
 branden ; braande
 brandkuil, kuil met bluswater ; braandkööl
 Brandverzekering ; Braandstraasie
 brandverzekering ; braandastratie
 breda ; gayda
 Breda ; Berdao
 brede ; breeje
 breed ; brêet
 breed, breder, breedst ; breej, breejer, britst
 breedst ; britst
 breedte ; britte
 breedvoerig praten, bomen ; bôome
 brei garen ; brai goaré
